Object URL,Social Tags,C,CS,CSH,GV,AR,BM,MCS
https://collectionapi.metmuseum.org/api/collection/v1/iiif/39733/147899/main-image,N/A,"art, pattern, decoration, flower, texture, retro, design, desktop, abstract, vintage, antique, floral, illustration, textile, style, old, handicraft, fabric, ornate, handmade","green, red, and yellow floral textile",brown and green dragon graphic carpet,"Pattern, Textile, Motif, Visual arts, Art, Paisley, Rug, Pattern","Rug, Pattern, Art, Applique, Paisley","tapestry, fabric, rug, floor cover, scatter rug, paisley fabric, olive green color","a fabric surface, clothing, fabric, rug"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/11383/34354/main-image,N/A,"art, vintage, painting, lid, people, one, retro, man, fall, tree, woman, old, portrait, adult, antique, nature, illustration, wear, veil, color",man in black suit painting,man wearing magician hat painting,"Painting, Lady, Portrait, Art, Standing, Visual arts, Self-portrait, Artist","Clothing, Apparel, Human, Person, Painting, Art, People, Hat","golf, athletic game, sport, cassock, gown, outerwear, frock coat, coat, overgarment, garment, person, clothing, olive green color, coal black color","a man that is standing in the grass, grass, man, outdoor, person, standing, field, building, cellphone, phone, holding, wearing, black, walking, young, park, baseball, street, ball, white"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/469949/941522/main-image,N/A,"sculpture, art, mammal, no person, lion, statue, museum, figurine, bronze, animal, metalwork, deer, ancient, one, dog, cavalry, nude, wildlife, illustration, reindeer",brown wooden horse head figurine,brass-colored lion figurine,"Sculpture, Bronze sculpture, Animal figure, Metal, Bronze, Brass, Figurine, Canidae, Carnivore, Ancient dog breeds","Figurine, Bronze, Mammal, Wildlife, Animal, Antelope, Horse, Art, Sculpture, Musical Instrument, Brass Section, Cushion, Wood, Furniture","andiron (used in fireplace), support, gilt (golden faced), coating, saber-toothed tiger, big cat, feline, carnivore, mammal, animal, artifact, light brown color","a close up of a dog, dog, brown, sitting, zebra, standing, playing, man"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/24927/1710189/main-image,N/A,"weapon, gun, still life, art, no person, vintage, cutout, retro, pistol, old, one, studio, metalwork, antique, wear, furniture, steel, mammal, military, people",white and brown wooden ship scale model,two white flintlocks,"Gun, Firearm, Bow and arrow, Trigger, Ranged weapon, Rifle, Bow, Wood, Crossbow, Shotgun","Weapon, Weaponry, Gun, Handgun, Rifle","flintlock gun, matchlock, muzzle loader gun, firearm, gun, weapon, alabaster color","a close up of a gun, thing, gun, weapon, sitting, table, small, water, black, boat, laying, air, white"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/444540/898286/main-image,N/A,"no person, metalwork, art, furniture, antique, gold, ornate, luxury, gilt, ancient, bronze, carpentry, wealth, old, brass, baroque, classic, castle, architecture, victorian",brown wooden wall mount rack,brass-colored container,"Table, Furniture, Brass, Metal, Bronze, Antique, Coffee table, End table, Games, Miniature","Furniture, Treasure, Cabinet, Bronze, Tabletop, Gold, Crib","settee (bench), bench, seat, furniture, Sheraton furniture, dressing table, table, sideboard (counter), reddish brown color, olive green color","a gold clock sitting on top of a table, table, small, metal, gold, sitting, clock, hanging, room, old, white, water, standing"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/435839/1763010/main-image,N/A,"architecture, travel, building, art, people, city, street, group, cathedral, church, tower, religion, bridge, many, no person, plaza, town, urban, sunset, sky",brown wooden framed painting of house,"Venice- 16th Cenutry, Othello by Emma Thornton on Prezi","Landmark, City, Human settlement, Public space, Town square, Town, Architecture, Building, Clock tower, Plaza","Building, Architecture, Person, Human, Art, Painting, Tower, Urban, Town, City, Downtown, Lighthouse, Beacon, Temple, Shrine, Worship, Landscape, Nature, Panoramic, Outdoors, Scenery, Bell Tower, Column, Pillar","religious building, building, belfry tower, tower, mecca, blue color","a group of people walking in front of Piazza San Marco, building, outdoor, standing, walking, sheep, city, large, group, people, front, snow, horse, clock, old, rug, street, man, many, riding, tower, water, flock, herd"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/451023/904153/main-image,N/A,"illustration, art, religion, god, narrative, vintage, painting, picture frame, retro, aura, old, ancient, woman, desktop, culture, spirituality, manuscript, design, baby, style",woman in white dress painting,woman and man painting,"Painting, Art, Illustration, Miniature, Visual arts, Fictional character","Human, Person, Art, Mail, Envelope, Painting, Prayer, Worship, Greeting Card","tapestry, fabric, picture frame, framework, supporting structure, shadow box, box, light brown color, beige color","a close up of a book, text, photo, old, sitting, book, table, suitcase, luggage, brown, bear, computer, stuffed"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/207667/436330/main-image,N/A,"furniture, metalwork, no person, art, ornate, antique, inlay, carpentry, painting, wood, gold, container, decoration, cabinet, ancient, one, illustration, ebony, old, bronze",brown wooden single pedestal desk,brown and black wooden cabinet,"Furniture, Antique, Table, Desk, Napoleon iii style, Nightstand, End table, Drawer","Furniture, Sideboard, Table, Desk, Tabletop, Cabinet, Drawer","lowboy, furniture, davenport desk, table, marquetry (veneers), boulle (furniture), reddish brown color","a wooden table, indoor, table, small, old, sitting, wooden, room, bed, living, large, carriage"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/9982/44110/main-image,N/A,"no person, glass, glass items, still life, wine, H2O, bottle, trophy, vodka, reflection, victory, antique, drink, empty, cup, retro, luxury, classic, container, old",clear glass base table lamp,clear glass footed beverage dispenser,"Product, Glass, Still life photography, Metal, Barware, Silver, Silver","Lamp, Glass, Lantern, Goblet, Lighting","censer container, samovar urn, pot, porringer bowl, bowl, tableware, utensil, oil lamp, lamp, gray color, ivory color","a tall glass vase on a table, indoor, table, sitting, small, vase, glass, black, lamp, white, clock, desk, flower, holding, clear, bottle, display, room, tall"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/488570/1017246/restricted,N/A,"people, illustration, no person, education, man, school, art, furniture, indoors, wood, painting, business, print, room, travel, container, chalk, adult, study, retro",brown wooden framed wall decor,black 3-panel wooden room divider with art,"Modern art, Art, Banner, Furniture, Calligraphy, Room divider, Visual arts, Metal, Rectangle","Electronics, Screen, Monitor, Display, Advertisement, LCD Screen, Billboard, Shop","screen, indoors, marquetry (veneers), multi panel pictures/art, passe-partout (frame), framework, supporting structure, pale yellow color","a close up of a sign, room, photo, black, table, wooden, sign, refrigerator, kitchen, computer"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/44859/150925/main-image,N/A,"retro, no person, antique, classic, leather, container, handmade, vintage, old, elegant, handle, luxury, style, wood, arts and crafts, fashion, art, isolated, one, brass",brown and black floral leather tote bag,gold and black floral watering can,"Bag, Handbag, Brown, Fashion accessory, Shoulder bag","Bag, Accessories, Accessory, Handbag, Watering Can, Can, Tin, Pottery, Pot","handbag, coal scuttle, carpetbag, traveling bag, luggage, purse, bag, accessory, clothing, light brown color, beige color","indoor, table, sitting, cup, small, coffee, piece, decorated, vase, wooden, black, flower, cake, banana, plate, bag, fruit, board, water, white"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/437372/795959/main-image,N/A,"saint, religion, art, Mary, church, painting, god, kneeling, people, book, cross, chapel, veil, cathedral, throne, aura, group, Apostle, Renaissance, gown (clothing)",brown wooden framed wall decor,Religious painting,"Holy places, Painting, Architecture, Art, Altar, History, Stock photography, Statue, Middle ages, Arch","Person, Human, Art, Painting, Architecture, Building, Altar, Church","person, altarpiece, screen, indoors, Indian red color, alabaster color","a group of people sitting on a bench posing for the camera, building, bench, sitting, photo, standing, man, people, group, posing, wooden, old, water, woman"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/505786/1024220/main-image,N/A,"classical music, violin, no person, classic, music, wood, artistic, instrument, art, bowed stringed instrument, sound, cello, orchestra, musician, antique, viola, retro, carpentry, one, old",brown and black violin with bow,brown violin,"String instrument, Musical instrument, String instrument, Violin, Viola, Violin family, Bowed string instrument, Cello, Violone, Viol","Leisure Activities, Musical Instrument, Violin, Fiddle, Viola, Cello, Guitar","viol, bowed stringed instrument, stringed instrument, musical instrument, viola da gamba, ""viola damore"", viola, reddish brown color","a close up of a violin, instrument, music, violin, brown, cello, orange"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/337500/787246/main-image,N/A,"art, people, woman, painting, print, portrait, vintage, nude, one, baby, retro, adult, illustration, decoration, furniture, antique, interior, girl, family, old",womens black hair,woman combing her hair holding hand mirror painting,"Painting, Lady, Art, Picture frame, Fictional character, Still life, Photography, Long hair, Visual arts, Modern art","Art, Painting, Human, Person","painting, oil paint, paint, kisser, person, beige color","a person holding a cat, indoor, person, sitting, looking, cat, holding, man, woman, brown, hair, playing, phone, dog, mouth, white, teeth, laying, room, bed, standing, brushing, stuffed"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/453683/906096/main-image,N/A,"illustration, art, painting, print, fish, animal, people, prehistoric, bird, ancient, old, engraving, vintage, pattern, design, mammal, religion, elephant, antique, symbol",blue and brown wooden wall decor,painting of angel over fish,"Painting, Art, Illustration, Visual arts, History, Fictional character, Prophet, Tapestry","Art, Painting, Person, Human, Clothing, Apparel, Drawing","tapestry, fabric, rug, floor cover, beige color, olive green color","a painting of a book, text, book, photo, sitting, holding, old, painting, man, stuffed, woman, table, elephant, bed, bear, laying, people, riding"
https://collectionapi.metmuseum.org/api/collection/v1/iiif/17053/33779/main-image,N/A,"water, watercraft, boat, fisherman, rowboat, transportation system, fishing boat, travel, sea, people, vehicle, ocean, canoe, beach, ship, seashore, river, lake, no person, fish",brown and white sailing boat painting,brown boat,"Boat, Water transportation, Vehicle, Painting, Watercolor paint, Watercraft, Art, Boating","Transportation, Vehicle, Boat, Human, Person, Art, Painting","jolly boat, small boat, boat, watercraft, craft, vehicle, sampan skif, dugout canoe, sea green color","a small boat in a body of water, boat, water, outdoor, small, sitting, old, black, man, row, lake, body, people, white, parked, table, woman, floating, large, riding, bowl, group, standing, city, river, docked, snow"
